case_id,fraud_class,is_fraud,transaction_amount,transaction_hour,account_age_days,transactions_last_24h,transactions_last_7d,transactions_last_1h,average_transaction_amount,amount_deviation_ratio,beneficiary_age_days,beneficiary_transaction_count,failed_otp_attempts,failed_login_attempts,device_age_days,geo_distance_from_usual_location_km,previous_fraud_reports,previous_chargebacks,account_risk_score,device_risk_score,ip_risk_score,velocity_score,beneficiary_risk_score,new_device,new_beneficiary,unusual_location,otp_requested,otp_shared,kyc_recently_changed,password_recently_changed,multiple_failed_logins,suspicious_link_clicked,remote_access_detected,transaction_channel,device_type,authentication_method,beneficiary_type,payment_method,geographic_region,account_type,incident_narrative,split
BENCH_01234,LEGITIMATE,False,5306.85,21,1475,4,18,0,3733.96,1.42,615,4,0,0,927,14.4,0,0,0.13,0.01,0.08,0.06,0.12,False,False,False,True,False,False,False,False,False,False,NET_BANKING,ANDROID_MOBILE,MPIN,INDIVIDUAL_P2P,UPI_INTENT,SOUTH_INDIA,CURRENT,Transferred funds to a family member for festive shopping expenses through standard UPI app interface.,train
BENCH_01269,LEGITIMATE,False,4283.38,8,1696,4,29,2,5119.72,0.84,458,32,0,0,1019,7.6,0,0,0.57,0.73,0.16,0.62,0.76,True,False,True,True,False,False,False,False,False,False,NET_BANKING,TABLET,BIOMETRIC_FINGERPRINT,NEW_UNVERIFIED_VPA,UPI_COLLECT,EAST_INDIA,SAVINGS,Paid a new unverified merchant for emergency repair supplies from a borrowed smartphone.,train
BENCH_01837,PHISHING,True,16248.07,20,340,6,21,2,4683.84,3.47,3,0,4,3,5,48.6,0,0,0.6,0.68,0.68,0.69,0.75,False,True,True,True,True,False,False,True,True,False,NET_BANKING,IOS_MOBILE,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,IMPS,INTERNATIONAL_IP,SALARY,Clicked on a sponsored search ad claiming to be customer service portal for credit card point redemption.,train
BENCH_01108,LEGITIMATE,False,677.16,23,872,1,17,2,532.39,1.27,291,37,0,0,158,10.0,0,0,0.09,0.09,0.09,0.09,0.11,False,True,False,True,False,False,False,False,False,False,UPI_APP,TABLET,MPIN,MERCHANT_P2M,UPI_INTENT,CENTRAL_INDIA,CURRENT,Routine medical insurance premium payment made online; bank notification received immediately.,train
BENCH_02361,INVESTMENT_FRAUD,True,70340.77,16,398,7,27,3,13670.95,5.15,8,1,0,0,394,34.8,0,0,0.48,0.31,0.5,0.63,0.87,False,True,False,True,False,False,False,False,False,False,UPI_APP,MAC_DESKTOP,MPIN,NEW_UNVERIFIED_VPA,IMPS,INTERNATIONAL_IP,SALARY,Added to a private messaging investment channel promising 200% returns in 7 days through algorithmic crypto arbitrage trading.,train
BENCH_02613,INVESTMENT_FRAUD,True,36865.3,19,1455,5,20,2,17748.32,2.08,3,1,0,0,693,33.4,0,0,0.69,0.16,0.61,0.75,0.91,False,True,False,True,False,False,False,False,False,False,UPI_APP,MAC_DESKTOP,SMS_OTP,NEW_UNVERIFIED_VPA,NEFT,EAST_INDIA,CURRENT,Friend recommended high return automated trading bot requiring deposits into escrow UPI handle.,train
BENCH_01597,UPI_FRAUD,True,61474.0,11,619,9,23,2,19076.32,3.22,9,1,0,0,449,8.7,0,0,0.25,0.11,0.3,0.5,0.87,False,True,False,False,False,False,False,False,True,False,UPI_APP,TABLET,MPIN,UNKNOWN_THIRD_PARTY,UPI_COLLECT,INTERNATIONAL_IP,SALARY,Tried claiming cashback banner on a third-party coupon site which opened UPI app with pre-filled debit collect request.,train
BENCH_01025,LEGITIMATE,False,23640.87,22,677,4,30,0,17026.36,1.39,348,38,1,0,520,14.9,0,0,0.11,0.11,0.1,0.12,0.13,False,False,False,True,False,False,False,False,False,False,MOBILE_BANKING,ANDROID_MOBILE,BIOMETRIC_FINGERPRINT,MERCHANT_P2M,IMPS,SOUTH_INDIA,DIGITAL_WALLET,Sent money to college fee portal via net banking. Awaiting confirmation receipt from the university finance desk.,train
BENCH_02247,IMPERSONATION,True,18609.97,19,1633,3,17,3,4162.68,4.47,2,0,0,0,366,17.8,0,0,0.58,0.17,0.45,0.84,0.71,False,True,False,True,True,False,False,False,False,True,UPI_APP,MAC_DESKTOP,SMS_OTP,NEW_UNVERIFIED_VPA,RTGS,WEST_INDIA,DIGITAL_WALLET,Received message from my manager's photo profile on WhatsApp requesting urgent gift voucher transfers for client meeting.,train
BENCH_01253,LEGITIMATE,False,7842.47,11,2444,5,21,1,9478.83,0.83,343,32,0,0,1044,1.2,0,0,0.02,0.08,0.13,0.17,0.14,False,False,False,True,False,False,False,False,False,False,MOBILE_BANKING,MAC_DESKTOP,SMS_OTP,MERCHANT_P2M,DEBIT_CARD,NORTH_INDIA,SAVINGS,Purchased an electronic gadget from an e-commerce festival sale. Payment deducted twice from savings account.,train
BENCH_02177,IMPERSONATION,True,60882.55,12,2455,5,12,2,10662.74,5.71,2,0,0,0,1101,22.3,0,0,0.6,0.31,0.51,0.54,0.87,False,True,False,True,False,False,False,False,False,False,MOBILE_BANKING,IOS_MOBILE,SMS_OTP,UNKNOWN_THIRD_PARTY,NEFT,EAST_INDIA,DIGITAL_WALLET,Individual claiming to be income tax commissioner called demanding immediate penalty settlement to avoid bank account freeze.,train
BENCH_01656,UPI_FRAUD,True,75180.29,22,681,4,21,2,44150.26,1.7,0,1,0,0,542,26.7,0,0,0.48,0.19,0.49,0.49,0.74,False,True,False,False,False,False,False,False,True,False,UPI_APP,ANDROID_MOBILE,MPIN,NEW_UNVERIFIED_VPA,UPI_INTENT,SOUTH_INDIA,SAVINGS,Received a request claiming to be from a prospective buyer on an online marketplace asking me to approve a collect request to receive advance payment.,train
BENCH_02022,PHISHING,True,14615.29,13,1738,6,11,2,6378.24,2.29,0,0,4,1,18,416.4,0,0,0.66,0.85,0.67,0.79,0.9,False,True,False,True,True,True,True,False,True,False,PAYMENT_GATEWAY,IOS_MOBILE,SMS_OTP,UNKNOWN_THIRD_PARTY,IMPS,WEST_INDIA,CURRENT,Opened an email warning my tax refund was pending. Entered my net banking credentials and OTP on the portal.,train
BENCH_02552,INVESTMENT_FRAUD,True,51136.06,16,1497,7,15,1,15121.14,3.38,15,2,0,0,687,10.9,0,0,0.36,0.32,0.26,0.86,0.67,False,True,False,True,False,False,False,False,False,False,UPI_APP,IOS_MOBILE,MPIN,UNKNOWN_THIRD_PARTY,NEFT,INTERNATIONAL_IP,DIGITAL_WALLET,Friend recommended high return automated trading bot requiring deposits into escrow UPI handle.,train
BENCH_01953,PHISHING,True,47652.43,16,1133,11,24,2,14974.13,3.18,3,0,1,3,45,280.6,0,0,0.87,0.7,0.81,0.91,0.79,True,True,True,True,True,False,False,True,True,True,PAYMENT_GATEWAY,TABLET,SMS_OTP,UNKNOWN_THIRD_PARTY,NEFT,WEST_INDIA,CURRENT,"Got an urgent text message indicating reward points worth ₹47,652.43 were expiring today and prompted to claim through secure portal.",train
BENCH_02461,INVESTMENT_FRAUD,True,348625.91,15,1974,7,19,1,98362.19,3.54,1,3,0,0,486,1.3,0,0,0.62,0.18,0.45,0.62,0.91,False,True,False,True,False,False,False,False,False,False,NET_BANKING,MAC_DESKTOP,SMS_OTP,NEW_UNVERIFIED_VPA,NEFT,NORTH_INDIA,DIGITAL_WALLET,Added to a private messaging investment channel promising 200% returns in 7 days through algorithmic crypto arbitrage trading.,train
BENCH_01747,UPI_FRAUD,True,7774.94,10,1251,10,31,4,3567.27,2.18,13,0,0,0,553,23.2,0,0,0.34,0.28,0.45,0.56,0.94,False,True,True,False,False,False,False,False,True,False,UPI_APP,MAC_DESKTOP,MPIN,NEW_UNVERIFIED_VPA,UPI_INTENT,WEST_INDIA,CURRENT,"Scanned a QR code received over chat believing it was to receive cash prize reward, but ₹7,774.94 was deducted instantly.",train
BENCH_02981,WRONG_TRANSFER,False,17646.38,9,1407,3,11,1,19123.6,0.92,72,1,0,0,126,8.5,0,0,0.05,0.11,0.07,0.23,0.29,False,False,False,True,False,False,False,False,False,False,MOBILE_BANKING,MAC_DESKTOP,MPIN,NEW_UNVERIFIED_VPA,UPI_INTENT,EAST_INDIA,SAVINGS,Entered wrong bank IFSC code and account number while doing an IMPS transfer for medical equipment.,train
BENCH_02789,ACCOUNT_TAKEOVER,True,26594.93,23,2811,8,37,4,5335.21,4.98,0,0,5,4,2,273.5,1,0,0.76,0.86,0.85,0.99,0.94,True,True,True,True,True,True,True,True,True,True,NET_BANKING,MAC_DESKTOP,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,IMPS,WEST_INDIA,CURRENT,Suddenly lost cellular mobile network connectivity; discovered later an unauthorized duplicate e-SIM swap had been executed.,train
BENCH_02762,ACCOUNT_TAKEOVER,True,582648.76,23,1954,15,25,3,99702.23,5.84,0,0,3,7,0,406.8,0,0,0.87,0.79,0.88,0.85,0.86,True,True,True,True,False,False,True,True,False,True,NET_BANKING,IOS_MOBILE,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,RTGS,WEST_INDIA,DIGITAL_WALLET,Noticed strange login notification from an IP in another state followed by multiple unauthorized IMPS transfers.,train
BENCH_01931,PHISHING,True,11025.7,21,1649,11,29,2,3737.03,2.95,0,0,1,2,51,437.6,0,0,0.72,0.82,0.71,0.71,0.91,True,True,True,True,True,True,True,True,True,False,UPI_APP,IOS_MOBILE,SMS_OTP,UNKNOWN_THIRD_PARTY,UPI_INTENT,EAST_INDIA,DIGITAL_WALLET,Clicked on a sponsored search ad claiming to be customer service portal for credit card point redemption.,train
BENCH_01426,UPI_FRAUD,True,40898.83,9,948,10,32,1,22587.98,1.81,8,0,0,0,619,1.1,0,0,0.45,0.18,0.24,0.61,0.92,False,True,False,True,False,False,False,False,True,False,UPI_APP,MAC_DESKTOP,MPIN,UNKNOWN_THIRD_PARTY,UPI_INTENT,INTERNATIONAL_IP,SAVINGS,Got an urgent call from someone claiming payment failed for a courier package; was told to approve ₹5 token collect request which took full balance.,train
BENCH_02381,INVESTMENT_FRAUD,True,475767.09,13,1837,2,18,3,201748.81,2.36,5,2,0,0,794,20.3,0,0,0.5,0.34,0.52,0.74,0.65,False,False,False,True,False,False,False,False,False,False,UPI_APP,MAC_DESKTOP,SMS_OTP,NEW_UNVERIFIED_VPA,UPI_INTENT,WEST_INDIA,DIGITAL_WALLET,Offered a part-time remote job involving rating hotels and liking videos; required to deposit increasing funds to unlock commissions.,train
BENCH_01027,LEGITIMATE,False,28209.19,21,242,7,31,0,34012.12,0.83,106,33,0,0,874,9.8,0,0,0.08,0.11,0.14,0.27,0.02,False,False,False,True,False,False,False,False,False,False,UPI_APP,MAC_DESKTOP,BIOMETRIC_FINGERPRINT,UTILITY_BILLER,NEFT,NORTH_INDIA,SAVINGS,Purchased an electronic gadget from an e-commerce festival sale. Payment deducted twice from savings account.,train
BENCH_02003,PHISHING,True,118244.96,20,463,9,28,3,30185.24,3.92,5,0,2,1,47,107.9,0,0,0.55,0.54,0.64,0.79,0.82,True,True,True,True,True,True,True,False,True,False,UPI_APP,ANDROID_MOBILE,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,NEFT,INTERNATIONAL_IP,DIGITAL_WALLET,Clicked on a sponsored search ad claiming to be customer service portal for credit card point redemption.,train
BENCH_01107,LEGITIMATE,False,11633.24,23,960,1,25,2,8289.16,1.4,284,17,0,0,324,1.6,0,0,0.19,0.07,0.1,0.18,0.07,False,False,False,True,False,False,False,False,False,False,UPI_APP,MAC_DESKTOP,MPIN,MERCHANT_P2M,NEFT,NORTH_INDIA,CURRENT,Sent money to college fee portal via net banking. Awaiting confirmation receipt from the university finance desk.,train
BENCH_01909,PHISHING,True,14211.58,20,985,11,17,2,2233.97,6.36,0,0,1,1,59,142.3,0,0,0.73,0.69,0.63,0.79,0.76,False,True,False,True,True,True,False,False,True,False,PAYMENT_GATEWAY,TABLET,SMS_OTP,UNKNOWN_THIRD_PARTY,NEFT,NORTH_INDIA,DIGITAL_WALLET,Received an alert about suspicious login attempt on net banking with a link to verify identity; entered card numbers and pin.,train
BENCH_02862,WRONG_TRANSFER,False,15480.34,16,1137,5,8,2,13728.91,1.13,0,1,0,0,465,0.9,0,0,0.12,0.16,0.09,0.12,0.17,False,False,False,True,False,False,False,False,False,False,MOBILE_BANKING,TABLET,SMS_OTP,INDIVIDUAL_P2P,IMPS,EAST_INDIA,SAVINGS,Accidentally transferred vendor payment to an inactive supplier account that was closed last year.,train
BENCH_02768,ACCOUNT_TAKEOVER,True,163643.54,23,1548,7,33,8,22057.77,7.42,0,0,4,5,0,542.0,0,0,0.91,0.82,0.97,0.98,0.92,True,True,True,True,False,True,True,True,True,True,NET_BANKING,ANDROID_MOBILE,SMS_OTP,UNKNOWN_THIRD_PARTY,RTGS,CENTRAL_INDIA,CURRENT,Attacked by malware that intercepted SMS notifications and initiated transfers from my mobile banking app.,train
BENCH_01932,PHISHING,True,181063.85,10,1529,7,24,3,35413.05,5.11,3,0,2,1,27,96.8,0,0,0.58,0.8,0.66,0.7,0.91,True,True,False,True,True,True,True,False,True,False,UPI_APP,MAC_DESKTOP,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,NEFT,CENTRAL_INDIA,CURRENT,Clicked on a sponsored search ad claiming to be customer service portal for credit card point redemption.,train
BENCH_01501,UPI_FRAUD,True,52715.97,20,446,4,19,4,12077.3,4.36,7,0,0,0,600,18.1,0,0,0.3,0.24,0.2,0.41,0.95,False,True,False,False,False,False,False,False,True,False,UPI_APP,IOS_MOBILE,MPIN,NEW_UNVERIFIED_VPA,UPI_INTENT,INTERNATIONAL_IP,DIGITAL_WALLET,A buyer on classifieds app insisted on paying via dynamic QR code and instructed me to enter my UPI MPIN to claim funds.,train
BENCH_02696,ACCOUNT_TAKEOVER,True,56834.2,2,2612,17,33,8,9539.25,5.96,0,0,4,6,0,842.2,0,0,0.76,0.85,0.95,0.98,0.97,True,True,True,True,False,True,True,True,True,False,NET_BANKING,WINDOWS_DESKTOP,SMS_OTP,UNKNOWN_THIRD_PARTY,RTGS,EAST_INDIA,CURRENT,Installed a screen sharing remote support app recommended by someone claiming to fix device performance issues.,train
BENCH_02676,ACCOUNT_TAKEOVER,True,593713.81,23,693,18,50,8,110308.41,5.38,0,0,4,2,3,561.8,0,0,0.95,0.85,0.9,0.83,0.95,True,True,True,True,True,False,True,True,True,False,NET_BANKING,MAC_DESKTOP,SMS_OTP,UNKNOWN_THIRD_PARTY,RTGS,NORTH_INDIA,DIGITAL_WALLET,Noticed strange login notification from an IP in another state followed by multiple unauthorized IMPS transfers.,train
BENCH_01276,LEGITIMATE,False,5653.29,16,636,1,26,2,4340.72,1.3,163,24,0,0,1143,9.1,0,0,0.04,0.1,0.11,0.06,0.15,False,False,False,True,False,False,False,False,False,False,UPI_APP,TABLET,BIOMETRIC_FINGERPRINT,UTILITY_BILLER,DEBIT_CARD,CENTRAL_INDIA,SALARY,Purchased an electronic gadget from an e-commerce festival sale. Payment deducted twice from savings account.,train
BENCH_01664,UPI_FRAUD,True,7565.0,8,504,5,13,4,2006.71,3.77,8,0,0,0,112,3.6,0,0,0.17,0.13,0.14,0.08,0.17,False,False,False,True,False,False,False,False,False,False,MOBILE_BANKING,TABLET,MPIN,MERCHANT_P2M,IMPS,NORTH_INDIA,SALARY,Sent usual monthly maintenance fund through regular banking application.,train
BENCH_01800,PHISHING,True,75880.22,16,376,3,22,3,31551.02,2.41,4,0,2,2,51,224.3,0,0,0.66,0.76,0.77,0.76,0.84,False,True,False,True,True,True,False,True,True,False,NET_BANKING,IOS_MOBILE,SMS_OTP,UNKNOWN_THIRD_PARTY,IMPS,NORTH_INDIA,SAVINGS,Received an SMS stating electricity supply would be disconnected tonight unless I updated bill details at a shortened link.,train
BENCH_01986,PHISHING,True,43820.36,19,377,10,21,5,15649.99,2.8,4,0,2,3,24,303.0,0,0,0.75,0.6,0.87,0.79,0.77,False,True,True,True,True,True,False,True,True,False,UPI_APP,IOS_MOBILE,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,IMPS,EAST_INDIA,SALARY,Received an SMS stating electricity supply would be disconnected tonight unless I updated bill details at a shortened link.,train
BENCH_02951,WRONG_TRANSFER,False,635.9,14,891,5,14,2,789.29,0.81,0,0,0,0,86,3.4,0,0,0.21,0.11,0.15,0.23,0.27,False,True,False,True,False,False,False,False,False,False,MOBILE_BANKING,MAC_DESKTOP,BIOMETRIC_FINGERPRINT,NEW_UNVERIFIED_VPA,UPI_INTENT,CENTRAL_INDIA,DIGITAL_WALLET,Mistyped one digit of recipient mobile phone number while sending money via UPI to my brother.,train
BENCH_02920,WRONG_TRANSFER,False,13966.98,20,1543,5,13,1,15839.99,0.88,391,0,0,0,457,8.6,0,0,0.23,0.15,0.13,0.11,0.16,False,False,False,True,False,False,False,False,False,False,UPI_APP,MAC_DESKTOP,SMS_OTP,NEW_UNVERIFIED_VPA,IMPS,INTERNATIONAL_IP,DIGITAL_WALLET,Accidentally selected the wrong saved beneficiary with a similar name from my banking contact list.,train
BENCH_01161,LEGITIMATE,False,14028.5,8,736,8,29,1,14548.21,0.96,503,29,0,1,1127,4.6,0,0,0.14,0.12,0.16,0.14,0.15,False,False,False,True,False,False,False,False,False,False,NET_BANKING,TABLET,BIOMETRIC_FINGERPRINT,MERCHANT_P2M,DEBIT_CARD,CENTRAL_INDIA,DIGITAL_WALLET,Sent money to college fee portal via net banking. Awaiting confirmation receipt from the university finance desk.,train
BENCH_01701,UPI_FRAUD,True,23992.91,15,144,4,11,3,14337.05,1.67,13,1,0,0,224,1.1,0,0,0.28,0.33,0.42,0.45,0.92,False,True,False,True,False,False,False,False,False,False,UPI_APP,ANDROID_MOBILE,MPIN,NEW_UNVERIFIED_VPA,UPI_COLLECT,EAST_INDIA,SAVINGS,Tried claiming cashback banner on a third-party coupon site which opened UPI app with pre-filled debit collect request.,train
BENCH_02325,IMPERSONATION,True,556418.03,16,2286,3,18,2,60806.27,9.15,3,0,0,0,1067,24.2,0,0,0.54,0.24,0.54,0.83,0.71,False,True,False,True,False,False,False,False,False,True,MOBILE_BANKING,WINDOWS_DESKTOP,BIOMETRIC_FINGERPRINT,UNKNOWN_THIRD_PARTY,NEFT,SOUTH_INDIA,SALARY,Person claiming to be bank fraud prevention executive called saying unauthorized debit occurred and asked to confirm security code.,train
BENCH_02856,WRONG_TRANSFER,False,56549.48,19,460,2,5,1,69372.98,0.82,193,1,0,0,494,4.9,0,0,0.24,0.06,0.03,0.25,0.13,False,False,False,True,False,False,False,False,False,False,MOBILE_BANKING,IOS_MOBILE,MPIN,NEW_UNVERIFIED_VPA,UPI_INTENT,CENTRAL_INDIA,DIGITAL_WALLET,Mistyped one digit of recipient mobile phone number while sending money via UPI to my brother.,train
BENCH_02333,IMPERSONATION,True,110154.67,15,1110,4,15,3,14495.04,7.6,1,0,0,0,659,21.6,0,0,0.6,0.31,0.26,0.83,0.88,False,True,False,True,False,False,False,False,False,False,UPI_APP,TABLET,SMS_OTP,UNKNOWN_THIRD_PARTY,NEFT,CENTRAL_INDIA,SALARY,Individual claiming to be income tax commissioner called demanding immediate penalty settlement to avoid bank account freeze.,train
BENCH_01655,UPI_FRAUD,True,8341.82,13,579,8,13,4,2595.09,3.21,5,1,0,0,618,18.6,0,0,0.35,0.14,0.22,0.37,0.74,False,True,False,False,False,False,False,False,False,False,UPI_APP,ANDROID_MOBILE,MPIN,NEW_UNVERIFIED_VPA,UPI_COLLECT,INTERNATIONAL_IP,CURRENT,A buyer on classifieds app insisted on paying via dynamic QR code and instructed me to enter my UPI MPIN to claim funds.,train
BENCH_02677,ACCOUNT_TAKEOVER,True,27378.69,22,1920,20,30,8,5547.56,4.94,0,0,5,7,0,151.5,1,0,0.75,0.87,0.96,0.98,0.8,True,True,True,True,False,False,True,True,False,True,NET_BANKING,ANDROID_MOBILE,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,RTGS,EAST_INDIA,SALARY,Found secondary authentication device added to my digital wallet without authorization after visiting unverified website.,train
BENCH_01913,PHISHING,True,14642.22,15,1134,10,18,3,5216.35,2.81,3,0,1,2,19,255.4,0,0,0.88,0.61,0.71,0.81,0.99,True,True,True,True,True,True,True,True,True,False,PAYMENT_GATEWAY,ANDROID_MOBILE,SMS_OTP,UNKNOWN_THIRD_PARTY,UPI_INTENT,INTERNATIONAL_IP,CURRENT,Clicked on a sponsored search ad claiming to be customer service portal for credit card point redemption.,train
BENCH_02231,IMPERSONATION,True,204453.78,15,1796,1,8,1,60591.0,3.37,2,0,0,0,163,14.3,0,0,0.44,0.33,0.34,0.74,0.85,False,True,False,True,False,False,False,False,False,True,UPI_APP,TABLET,BIOMETRIC_FINGERPRINT,NEW_UNVERIFIED_VPA,NEFT,EAST_INDIA,CURRENT,Person claiming to be bank fraud prevention executive called saying unauthorized debit occurred and asked to confirm security code.,train
BENCH_02952,WRONG_TRANSFER,False,4994.96,18,670,2,20,1,3672.16,1.36,264,0,0,0,749,5.6,0,0,0.14,0.13,0.19,0.27,0.28,False,True,False,True,False,False,False,False,False,False,MOBILE_BANKING,ANDROID_MOBILE,BIOMETRIC_FINGERPRINT,INDIVIDUAL_P2P,IMPS,WEST_INDIA,SAVINGS,Transferred tuition fee to another student's virtual payment address due to typo in student ID roll number.,train
BENCH_02071,PHISHING,True,9127.92,10,1532,8,14,3,2274.02,4.01,3,0,2,1,40,136.8,1,0,0.9,0.57,0.81,0.66,0.89,False,True,True,True,True,True,True,False,True,False,PAYMENT_GATEWAY,TABLET,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,NEFT,CENTRAL_INDIA,SALARY,"Got an urgent text message indicating reward points worth ₹9,127.92 were expiring today and prompted to claim through secure portal.",train
BENCH_02963,WRONG_TRANSFER,False,3372.7,9,502,5,14,2,3484.19,0.97,242,0,0,0,861,3.9,0,0,0.15,0.04,0.03,0.21,0.22,False,True,False,True,False,False,False,False,False,False,MOBILE_BANKING,ANDROID_MOBILE,BIOMETRIC_FINGERPRINT,INDIVIDUAL_P2P,IMPS,NORTH_INDIA,SALARY,Accidentally selected the wrong saved beneficiary with a similar name from my banking contact list.,train
BENCH_01087,LEGITIMATE,False,16060.91,20,1099,7,34,1,14860.54,1.08,307,7,0,0,167,2.8,0,0,0.1,0.05,0.15,0.13,0.09,False,False,False,True,False,False,False,False,False,False,UPI_APP,TABLET,MPIN,INDIVIDUAL_P2P,NEFT,WEST_INDIA,DIGITAL_WALLET,Routine medical insurance premium payment made online; bank notification received immediately.,train
BENCH_02643,ACCOUNT_TAKEOVER,True,666751.87,23,1323,8,31,7,107270.94,6.22,0,0,3,5,2,790.1,0,0,0.96,0.95,0.89,0.81,0.91,True,True,True,True,True,True,True,True,False,False,MOBILE_BANKING,WINDOWS_DESKTOP,PASSWORD_OTP,UNKNOWN_THIRD_PARTY,IMPS,INTERNATIONAL_IP,DIGITAL_WALLET,Received repeated OTP requests while asleep; woke up to find net banking password reset and beneficiary added without consent.,train
